Category,Source,Data type,Comments
Power sector,LCPDP,Technology performances,Least Cost Power Development Plan - Long-term and medium-term plans
,Starter Data Kit,Technology performances,
Agriculture,Starter Data Kit,Technology performances,
Commercial,Starter Data Kit,Technology performances,
Industry,Starter Data Kit,Technology performances,
Residential,Nuvoni,,
,MoE,,
,MECS,Technology performances,
Transports,GIZ,Technology performances,https://www.changing-transport.org/wp-content/uploads/2018_GIZ_INFRAS_Transport_Mitigation_Options_Kenya.pdf
,TEAMS,,
Demands,IEA,Energy balance,
,UN WPP,Drivers,
,UN WUP,Drivers,
,KNBS,Drivers,
,World Bank,Drivers,
,Our World in Data,Drivers,
